Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,UpdateCFP,1768056907.256346,1283,0,1
2,UpdateCo2,1768056907.257635,58,0,1
2,UpdateCo2,1768056907.257695,58,0,1
1,UpdateCFP,1768056907.257756,877,0,1
1,UpdateCFP,1768056907.258642,1185,0,1
2,UpdateCo2,1768056907.259834,61,0,1
2,UpdateCo2,1768056907.259897,63,0,1
2,UpdateCo2,1768056907.259964,62,0,1
1,UpdateCFP,1768056907.260028,1048,0,1
1,UpdateCFP,1768056907.261082,1093,0,1
2,UpdateCo2,1768056907.262181,66,0,1
1,UpdateCFP,1768056907.262250,1094,0,1
1,UpdateCFP,1768056907.263351,1003,0,1
2,UpdateCo2,1768056907.264361,59,0,1
1,UpdateCFP,1768056907.264422,967,0,1
2,UpdateCo2,1768056907.265395,66,0,1
1,UpdateCFP,1768056907.265463,998,0,1
2,UpdateCo2,1768056907.266467,64,0,1
2,UpdateCo2,1768056907.266534,61,0,1
2,UpdateCo2,1768056907.266599,62,0,1
2,UpdateCo2,1768056907.266662,61,0,1
1,UpdateCFP,1768056907.266725,1302,0,1
1,UpdateCFP,1768056907.268034,1185,0,1
1,UpdateCFP,1768056907.269226,1123,0,1
2,UpdateCo2,1768056907.270357,64,0,1
2,UpdateCo2,1768056907.270424,58,0,1
2,UpdateCo2,1768056907.270483,61,0,1
1,UpdateCFP,1768056907.270546,879,0,1
1,UpdateCFP,1768056907.271430,865,0,1
1,UpdateCFP,1768056907.272302,1062,0,1
1,UpdateCFP,1768056907.273370,966,0,1
2,UpdateCo2,1768056907.274344,59,0,1
2,UpdateCo2,1768056907.274405,154,0,1
1,UpdateCFP,1768056907.274561,909,0,1
2,UpdateCo2,1768056907.275477,59,0,1
1,UpdateCFP,1768056907.275539,963,0,1
2,UpdateCo2,1768056907.276509,66,0,1
2,UpdateCo2,1768056907.276579,57,0,1
2,UpdateCo2,1768056907.276638,61,0,1
2,UpdateCo2,1768056907.276701,58,0,1
